"#","Fecha","PM25","PM10","TEMP","dia","Mes","Prom"
"219","01-11-2019","7","7","26.7","01","11","13.566666666667"
"220","01-11-2019","12","12","27.1","01","11","17.033333333333"
"221","01-11-2019","11","11","27.1","01","11","16.366666666667"
"222","01-11-2019","11","11","27.5","01","11","16.5"
"223","01-11-2019","8","8","27.9","01","11","14.633333333333"
"224","01-11-2019","9","9","28.3","01","11","15.433333333333"
"225","01-11-2019","8","8","28.8","01","11","14.933333333333"
"226","01-11-2019","8","8","29.1","01","11","15.033333333333"
"227","01-11-2019","7","7","29.6","01","11","14.533333333333"
"228","01-11-2019","11","11","29.8","01","11","17.266666666667"
"229","01-11-2019","5","5","29.9","01","11","13.3"
"230","01-11-2019","7","8","29.8","01","11","14.933333333333"
"231","01-11-2019","6","7","30.3","01","11","14.433333333333"
"232","01-11-2019","8","8","30.2","01","11","15.4"
"233","01-11-2019","6","6","30.9","01","11","14.3"
"234","01-11-2019","7","7","31.3","01","11","15.1"
"235","01-11-2019","6","6","30.7","01","11","14.233333333333"
"236","01-11-2019","4","4","30.6","01","11","12.866666666667"
"237","01-11-2019","2","2","31.3","01","11","11.766666666667"
"238","01-11-2019","3","4","32.2","01","11","13.066666666667"
"239","01-11-2019","5","5","32.6","01","11","14.2"
"240","01-11-2019","4","4","32.6","01","11","13.533333333333"
"241","01-11-2019","5","5","32.8","01","11","14.266666666667"
"242","01-11-2019","3","3","33","01","11","13"
"243","01-11-2019","4","4","33.1","01","11","13.7"
"244","01-11-2019","6","6","33.5","01","11","15.166666666667"
"245","01-11-2019","4","4","33.9","01","11","13.966666666667"
"246","01-11-2019","3","3","33.9","01","11","13.3"
"247","01-11-2019","4","4","33.8","01","11","13.933333333333"
"248","01-11-2019","3","3","34.5","01","11","13.5"
"249","01-11-2019","4","4","33.9","01","11","13.966666666667"
"250","01-11-2019","2","2","34","01","11","12.666666666667"
"251","01-11-2019","3","3","34.2","01","11","13.4"
"252","01-11-2019","4","4","33.2","01","11","13.733333333333"
"253","01-11-2019","1","2","32.4","01","11","11.8"
"254","01-11-2019","1702","2308","32.1","01","11","1347.3666666667"
"255","01-11-2019","1626","4851","31.6","01","11","2169.5333333333"
"256","01-11-2019","851","1513","31.3","01","11","798.43333333333"
"257","01-11-2019","1131","2976","31.3","01","11","1379.4333333333"
"258","01-11-2019","692","1399","31.1","01","11","707.36666666667"
"259","01-11-2019","695","1398","30.8","01","11","707.93333333333"
"260","01-11-2019","432","798","30.7","01","11","420.23333333333"
"261","01-11-2019","838","1909","30.6","01","11","925.86666666667"
"262","01-11-2019","219","386","30.3","01","11","211.76666666667"
"263","01-11-2019","395","791","29.9","01","11","405.3"
"264","01-11-2019","55","77","30.1","01","11","54.033333333333"
"265","01-11-2019","229","404","29.9","01","11","220.96666666667"
"266","01-11-2019","114","163","29.7","01","11","102.23333333333"
"267","01-11-2019","75","100","29.6","01","11","68.2"
"268","01-11-2019","92","138","29.7","01","11","86.566666666667"
"269","01-11-2019","70","101","29.3","01","11","66.766666666667"
"270","01-11-2019","41","51","29.1","01","11","40.366666666667"
"271","01-11-2019","23","24","25.45","01","11","24.15"
"272","01-11-2019","53","70","28.4","01","11","50.466666666667"
"273","01-11-2019","67","88","28.4","01","11","61.133333333333"
"274","01-11-2019","55","79","28.6","01","11","54.2"
"275","01-11-2019","272","514","28.3","01","11","271.43333333333"
"276","01-11-2019","40","61","28.2","01","11","43.066666666667"
"277","01-11-2019","33","37","28.1","01","11","32.7"
"278","01-11-2019","33","40","27.8","01","11","33.6"
"279","01-11-2019","23","29","27.7","01","11","26.566666666667"
"280","01-11-2019","22","28","27.8","01","11","25.933333333333"
"281","01-11-2019","25","29","27.7","01","11","27.233333333333"
"282","01-11-2019","31","33","27.4","01","11","30.466666666667"
"283","01-11-2019","25","26","27.4","01","11","26.133333333333"
"284","01-11-2019","26","33","27.1","01","11","28.7"
"285","01-11-2019","26","26","27.6","01","11","26.533333333333"
"286","01-11-2019","38","52","27.3","01","11","39.1"
"287","01-11-2019","26","26","27.4","01","11","26.466666666667"
"288","01-11-2019","25","27","27.3","01","11","26.433333333333"
"289","01-11-2019","27","28","27.2","01","11","27.4"
"290","01-11-2019","23","24","27.4","01","11","24.8"
"291","01-11-2019","18","20","27.3","01","11","21.766666666667"
"292","01-11-2019","24","24","26.9","01","11","24.966666666667"
"293","01-11-2019","40","50","26.9","01","11","38.966666666667"
"294","01-11-2019","12.5","13.5","24.3","01","11","16.766666666667"
"295","01-11-2019","22","23","26.8","01","11","23.933333333333"
"296","01-11-2019","20","23","27.1","01","11","23.366666666667"
"297","01-11-2019","31","43","26.9","01","11","33.633333333333"
"298","01-11-2019","27","30","27.1","01","11","28.033333333333"
"299","01-11-2019","23","23","27","01","11","24.333333333333"
"300","01-11-2019","21","26","27.2","01","11","24.733333333333"
"301","01-11-2019","20","20","26.7","01","11","22.233333333333"
"302","01-11-2019","22","24","26.5","01","11","24.166666666667"
"303","01-11-2019","26","31","26.3","01","11","27.766666666667"
"893","01-11-2019","27","27","21","01","11","25"
"894","01-11-2019","23","28","21","01","11","24"
"895","01-11-2019","14","14","22","01","11","16.666666666667"
"896","01-11-2019","5","5","21","01","11","10.333333333333"
"897","01-11-2019","4","4","20","01","11","9.3333333333333"
"898","01-11-2019","9","9","20","01","11","12.666666666667"
"899","01-11-2019","19","19","21","01","11","19.666666666667"
"900","01-11-2019","15","15","21","01","11","17"
"901","01-11-2019","13","17","21","01","11","17"
"902","01-11-2019","8","8","21","01","11","12.333333333333"
"903","01-11-2019","11","11","21","01","11","14.333333333333"
"904","01-11-2019","12","17","20","01","11","16.333333333333"
"905","01-11-2019","10","10","20","01","11","13.333333333333"
"906","01-11-2019","20","20","20","01","11","20"
"907","01-11-2019","11","11","20","01","11","14"
"908","01-11-2019","7","7","20","01","11","11.333333333333"
"909","01-11-2019","5","5","20","01","11","10"
"910","01-11-2019","5","5","20","01","11","10"
"911","01-11-2019","11","11","20","01","11","14"
"912","01-11-2019","14","14","20","01","11","16"
"913","01-11-2019","13","18","20","01","11","17"
"914","01-11-2019","7","7","21","01","11","11.666666666667"
"915","01-11-2019","12","12","21","01","11","15"
"916","01-11-2019","13","13","22","01","11","16"
"917","01-11-2019","10","10","22","01","11","14"
"918","01-11-2019","12","12","23","01","11","15.666666666667"
"919","01-11-2019","8","8","23","01","11","13"
"920","01-11-2019","7","7","24","01","11","12.666666666667"
"921","01-11-2019","4","17","24","01","11","15"
"922","01-11-2019","2","2","24","01","11","9.3333333333333"
"923","01-11-2019","2","2","24","01","11","9.3333333333333"
"924","01-11-2019","3","3","25","01","11","10.333333333333"
"925","01-11-2019","2","2","25","01","11","9.6666666666667"
"926","01-11-2019","2","2","25","01","11","9.6666666666667"
"927","01-11-2019","1","1","25","01","11","9"
"928","01-11-2019","1","4","25","01","11","10"
"929","01-11-2019","7","7","25","01","11","13"
"930","01-11-2019","1","1","25","01","11","9"
"931","01-11-2019","3","3","25","01","11","10.333333333333"
"932","01-11-2019","4","4","25","01","11","11"
"933","01-11-2019","4","4","25","01","11","11"
"934","01-11-2019","7","7","25","01","11","13"
"935","01-11-2019","3","3","25","01","11","10.333333333333"
"936","01-11-2019","2","2","25","01","11","9.6666666666667"
"937","01-11-2019","4","4","25","01","11","11"
"938","01-11-2019","1","1","25","01","11","9"
"939","01-11-2019","4","4","24","01","11","10.666666666667"
"940","01-11-2019","4","4","24","01","11","10.666666666667"
"941","01-11-2019","9","9","24","01","11","14"
"942","01-11-2019","4","4","24","01","11","10.666666666667"
"943","01-11-2019","7","7","24","01","11","12.666666666667"
"944","01-11-2019","0","0","22","01","11","7.3333333333333"
"945","01-11-2019","15","15","22","01","11","17.333333333333"
"946","01-11-2019","16","16","22","01","11","18"
"947","01-11-2019","11","11","22","01","11","14.666666666667"
"948","01-11-2019","4","4","22","01","11","10"
"949","01-11-2019","6","6","23","01","11","11.666666666667"
"950","01-11-2019","6","6","22","01","11","11.333333333333"
"951","01-11-2019","6","6","22","01","11","11.333333333333"
"952","01-11-2019","9","9","22","01","11","13.333333333333"
"953","01-11-2019","3","3","22","01","11","9.3333333333333"
"954","01-11-2019","5","5","21","01","11","10.333333333333"
"955","01-11-2019","6","12","21","01","11","13"
"956","01-11-2019","3","3","21","01","11","9"
"957","01-11-2019","6","6","22","01","11","11.333333333333"
"958","01-11-2019","8","8","22","01","11","12.666666666667"
"959","01-11-2019","2","2","21","01","11","8.3333333333333"
